StandID,Year,Species,Ags Ugs,DBH,TPA,Total Plots
N15,2021,531,UGS,21.5,126.4670281,21
N15,2021,371,AGS,25.5,89.90293541,21
N15,2021,531,UGS,34.7,48.55067624,21
N15,2021,761,UGS,21.3,128.8531459,21
N15,2021,318,AGS,12.8,356.8077622,21
N15,2021,371,AGS,18.7,167.1748799,21
N15,2021,371,AGS,11.6,434.4484524,21
N15,2021,318,AGS,39.9,36.72048778,21
N15,2021,318,UGS,34.9,47.99581592,21
N15,2021,316,AGS,15.5,243.3272997,21
N15,2021,371,UGS,54.7,19.53797638,21
N15,2021,316,AGS,26.3,84.5167398,21
N15,2021,97,STD,54,20.04779964,21
N15,2021,318,AGS,19.2,158.5812276,21
N15,2021,318,STD,13.9,302.5691411,21
N15,2021,318,AGS,30.5,62.84265924,21
N15,2021,318,AGS,21.8,123.0102343,21
N15,2021,318,AGS,16.7,209.6144851,21
N15,2021,318,AGS,8,913.4278711,21
N15,2021,316,AGS,36.2,44.6105001,21
N15,2021,316,AGS,36.9,42.9340147,21
N15,2021,318,AGS,14.6,274.2511904,21
N15,2021,318,UGS,19.3,156.9421562,21
N15,2021,371,AGS,32.3,56.03368551,21
N15,2021,318,UGS,26,86.47837833,21
N15,2021,318,AGS,46,27.62730801,21
N15,2021,318,AGS,35.5,46.38713252,21
N15,2021,12,UGS,19.1,160.246111,21
N15,2021,371,AGS,42.7,32.06258124,21
N15,2021,371,UGS,31.5,58.91598262,21
N15,2021,318,AGS,34.4,49.40118286,21
N15,2021,316,UGS,37.3,42.01811538,21
N15,2021,316,UGS,44,30.19596268,21
N15,2021,371,UGS,37.9,40.69825729,21
N15,2021,318,AGS,20.7,136.4311507,21
N15,2021,316,AGS,54.2,19.90011838,21
N15,2021,371,AGS,32.3,56.03368551,21
N15,2021,371,AGS,34.1,50.27423548,21
N15,2021,371,AGS,38.5,39.43962473,21
N15,2021,371,AGS,22.7,113.4494823,21
N15,2021,531,STD,26.7,82.00337184,21
N15,2021,316,STD,29.3,68.09559081,21
N15,2021,371,UGS,42.8,31.91293113,21
N15,2021,371,AGS,38.9,38.63269722,21
N15,2021,999,STD,27.8,75.64228528,21
N15,2021,371,AGS,62.1,15.15901674,21
N15,2021,316,AGS,30.6,62.43259404,21
N15,2021,316,AGS,34.6,48.83172154,21
N15,2021,318,AGS,13.2,335.5106965,21
N15,2021,318,UGS,8.6,790.4189258,21
N15,2021,371,UGS,43.2,31.32468694,21
N15,2021,371,AGS,48.9,24.44761596,21
N15,2021,371,UGS,77.9,9.63339388,21
N15,2021,318,AGS,15.2,253.0271111,21
N15,2021,318,AGS,27.6,76.74252226,21
N15,2021,318,AGS,21.8,123.0102343,21
N15,2021,318,AGS,21.2,130.0716086,21
N15,2021,12,AGS,17.9,182.4518079,21
N15,2021,318,AGS,54.1,19.97375428,21
N15,2021,371,AGS,44.5,29.52121386,21
N15,2021,318,AGS,24.2,99.82136424,21
N15,2021,97,AGS,53.8,20.19713097,21
N15,2021,371,AGS,61.3,15.55726623,21
N15,2021,541,AGS,25.6,89.20194054,21
N15,2021,371,AGS,45,28.86883148,21
N15,2021,318,AGS,18.4,172.6706751,21
N15,2021,371,AGS,41.6,33.78061654,21
N15,2021,316,AGS,44.5,29.52121386,21
N15,2021,371,AGS,43.9,30.33368639,21
N15,2021,371,AGS,45.5,28.23783782,21
N15,2021,318,AGS,43.4,31.03664537,21
N15,2021,316,UGS,45.4,28.36237058,21
N15,2021,531,AGS,46.1,27.50757984,21
N15,2021,318,AGS,36.2,44.6105001,21
N15,2021,318,UGS,19.7,150.6335741,21
N15,2021,318,AGS,32.3,56.03368551,21
N15,2021,318,AGS,25.5,89.90293541,21
N15,2021,371,AGS,35,47.72194592,21
N15,2021,318,AGS,22.7,113.4494823,21
N15,2021,318,AGS,30.4,63.25677778,21
N15,2021,261,AGS,38.5,39.43962473,21
N15,2021,371,AGS,21.1,131.3074364,21
N15,2021,97,AGS,33.1,53.35784061,21
N15,2021,371,AGS,34.7,48.55067624,21
N15,2021,371,AGS,45,28.86883148,21
N15,2021,371,AGS,27,80.19119856,21
N15,2021,531,UGS,30.9,61.22619553,21
N15,2021,371,UGS,53.8,20.19713097,21
N15,2021,371,UGS,37.8,40.91387682,21
N15,2021,316,UGS,35,47.72194592,21
N15,2021,318,AGS,16.8,207.1265014,21
N15,2021,318,AGS,19.2,158.5812276,21
N15,2021,371,UGS,74.1,10.64676865,21
